segment;time_start;time_end;best;best_score;margin;hypotheses
1;0.32;0.85;+;0.928513;0.419331;"[(""+"", 0.9285), (""0"", 0.5392), (""5"", 0.4540), (""1"", 0.4371), (""6"", 0.4352), (""3"", 0.4342)]"
2;1.01;1.52;7;0.937309;0.378387;"[(""7"", 0.9373), (""8"", 0.5826), (""6"", 0.5589), (""0"", 0.4878), (""2"", 0.4769), (""1"", 0.4765)]"
3;1.69;2.2;9;0.935291;0.359024;"[(""9"", 0.9353), (""8"", 0.5995), (""1"", 0.4853), (""4"", 0.4774), (""2"", 0.4722), (""7"", 0.4719)]"
4;2.37;2.88;0;0.938093;0.425637;"[(""0"", 0.9381), (""+"", 0.5388), (""1"", 0.5112), (""6"", 0.5033), (""7"", 0.4896), (""5"", 0.4699)]"
5;3.04;3.56;0;0.933015;0.42284;"[(""0"", 0.9330), (""+"", 0.5385), (""1"", 0.5110), (""6"", 0.5029), (""7"", 0.4893), (""5"", 0.4696)]"
6;3.72;4.25;1;0.925632;0.42478;"[(""1"", 0.9256), (""2"", 0.5324), (""0"", 0.5091), (""8"", 0.4998), (""9"", 0.4865), (""7"", 0.4766)]"
7;4.4;4.93;2;0.926862;0.420816;"[(""2"", 0.9269), (""3"", 0.5368), (""1"", 0.5307), (""8"", 0.4837), (""7"", 0.4763), (""9"", 0.4732)]"
8;5.08;5.61;3;0.926664;0.39678;"[(""3"", 0.9267), (""4"", 0.5590), (""2"", 0.5347), (""9"", 0.4588), (""5"", 0.4538), (""1"", 0.4450)]"
9;5.76;6.29;4;0.925726;0.398472;"[(""4"", 0.9257), (""3"", 0.5569), (""5"", 0.5382), (""9"", 0.4761), (""2"", 0.4531), (""6"", 0.4479)]"
10;6.44;6.97;5;0.926543;0.377329;"[(""5"", 0.9265), (""6"", 0.5769), (""4"", 0.5358), (""0"", 0.4698), (""7"", 0.4552), (""+"", 0.4532)]"
11;7.13;7.64;6;0.936773;0.387461;"[(""6"", 0.9368), (""5"", 0.5738), (""7"", 0.5623), (""0"", 0.5027), (""8"", 0.4613), (""4"", 0.4479)]"
12;7.81;8.33;7;0.933153;0.376318;"[(""7"", 0.9332), (""8"", 0.5820), (""6"", 0.5587), (""0"", 0.4879), (""1"", 0.4766), (""2"", 0.4766)]"
