symbol;code;width;height;area;mass;mass_norm;q1_mass;q1_mass_norm;q2_mass;q2_mass_norm;q3_mass;q3_mass_norm;q4_mass;q4_mass_norm;cx;cy;cx_norm;cy_norm;ix;iy;ix_norm;iy_norm
Ⰰ;U2C00;37.0;50.0;1850.0;577.0;0.31189189189189187;98.0;0.21777777777777776;145.0;0.30526315789473685;144.0;0.32;190.0;0.4;18.20797227036395;25.83015597920277;0.5057770075101097;0.5271460403918933;68685.35528596186;51253.04332755633;0.04761549759858708;0.0648844155338073
Ⰱ;U2C01;37.0;50.0;1850.0;883.0;0.4772972972972973;270.0;0.6;275.0;0.5789473684210527;222.0;0.49333333333333335;116.0;0.24421052631578946;15.933182332955832;23.985277463193658;0.442588398137662;0.4894954584325236;204294.80860702155;128647.05775764442;0.09254577966342992;0.10642305123697966
Ⰲ;U2C02;66.0;52.0;3432.0;1229.0;0.3581002331002331;402.0;0.46853146853146854;398.0;0.46386946386946387;214.0;0.2494172494172494;215.0;0.2505827505827506;32.63791700569569;21.531326281529697;0.502121800087626;0.42218286826528817;251880.0439381611;389875.8730675346;0.07579406332244462;0.07282602507573228
Ⰳ;U2C03;56.0;52.0;2912.0;1011.0;0.3471840659340659;382.0;0.5247252747252747;55.0;0.07554945054945054;200.0;0.27472527472527475;374.0;0.5137362637362637;26.177052423343223;27.13353115727003;0.4759464076971495;0.5320300226915693;202424.97329376853;224213.30761622154;0.07404679197970568;0.07071868490489235
Ⰴ;U2C04;66.0;52.0;3432.0;1217.0;0.3546037296037296;216.0;0.2517482517482518;220.0;0.2564102564102564;388.0;0.4522144522144522;393.0;0.458041958041958;32.78882497945768;29.18241577649959;0.5044434612224258;0.5722042309117567;250717.5036976171;386098.7280197206;0.07618814322298537;0.07283161185691994
Ⰵ;U2C05;30.0;52.0;1560.0;702.0;0.45;131.0;0.33589743589743587;221.0;0.5666666666666667;132.0;0.3384615384615385;218.0;0.558974358974359;17.225071225071225;25.304843304843306;0.5939679732783181;0.4961733981341825;171570.76353276352;48680.43874643875;0.09038564979852762;0.07705039371072926
Ⰶ;U2C06;65.0;52.0;3380.0;1241.0;0.36715976331360944;221.0;0.265625;227.0;0.26456876456876455;395.0;0.47475961538461536;398.0;0.46386946386946387;31.928283642224013;29.649476228847703;0.4988794319097502;0.5813622789970138;222622.52215954877;343174.61724415794;0.06634231620315645;0.06545105679122257
Ⰷ;U2C07;49.0;52.0;2548.0;953.0;0.37401883830455257;170.0;0.2724358974358974;190.0;0.2923076923076923;286.0;0.4583333333333333;307.0;0.4723076923076923;23.861490031479537;26.376705141657922;0.49711437565582367;0.5171902968952534;163957.7628541448;91471.7166841553;0.06362567400599818;0.03997622391691259
Ⰸ;U2C08;63.0;52.0;3276.0;1233.0;0.37637362637362637;356.0;0.44168734491315137;135.0;0.1622596153846154;322.0;0.39950372208436724;420.0;0.5048076923076923;28.422546634225466;28.70397404703974;0.45842817151976556;0.562823020530191;215700.9505271695;385540.8532035685;0.06469672472464856;0.07878185973810586
Ⰹ;U2C09;68.0;50.0;3400.0;1271.0;0.3738235294117647;483.0;0.5682352941176471;482.0;0.5670588235294117;153.0;0.18;153.0;0.18;33.43273013375295;17.02360346184107;0.4989959721455664;0.3474204788130831;211409.29189614474;379939.99842643586;0.06653321538824382;0.06464748597718126
Ⰺ;U2C0A;68.0;50.0;3400.0;1546.0;0.4547058823529412;482.0;0.5670588235294117;480.0;0.5647058823529412;295.0;0.34705882352941175;289.0;0.34;33.41332470892626;21.3124191461837;0.4987063389391979;0.43494732951395304;350356.10155239323;431066.8855109961;0.09064840919854934;0.06030000479961069
Ⰻ;U2C0B;41.0;51.0;2091.0;954.0;0.4562410329985653;271.0;0.542;290.0;0.5523809523809524;190.0;0.36538461538461536;203.0;0.3717948717948718;20.262054507337528;22.5020964360587;0.5065513626834381;0.450041928721174;234940.49580712788;131142.48637316562;0.09468237736619921;0.08177627521127462
Ⰼ;U2C0C;51.0;51.0;2601.0;1086.0;0.41753171856978083;248.0;0.3968;323.0;0.4969230769230769;275.0;0.4230769230769231;240.0;0.35502958579881655;25.415285451197054;24.263351749539595;0.5083057090239411;0.4852670349907919;221292.6813996317;235455.70626151012;0.07834240032330379;0.08335641776165921
Ⰽ;U2C0D;21.0;50.0;1050.0;450.0;0.42857142857142855;128.0;0.512;97.0;0.3527272727272727;134.0;0.536;91.0;0.33090909090909093;8.6;24.333333333333332;0.43;0.4965986394557823;74950.0;21018.0;0.06662222222222222;0.10591080876795163
Ⰾ;U2C0E;66.0;52.0;3432.0;1255.0;0.36567599067599066;256.0;0.29836829836829837;262.0;0.30536130536130535;365.0;0.4254079254079254;372.0;0.43356643356643354;32.819123505976094;28.741832669322708;0.5049095923996322;0.563565346457308;253542.35378486055;377353.94103585655;0.07471367600157375;0.06902672890364284
Ⰿ;U2C0F;74.0;51.0;3774.0;1766.0;0.46793852676205616;502.0;0.5427027027027027;510.0;0.5513513513513514;379.0;0.39397089397089397;375.0;0.3898128898128898;36.7916194790487;21.912231030577576;0.5039947873842288;0.4382446206115515;401661.3958097396;678021.31596829;0.08744380391410995;0.07011149196372703
